PlotID	LatDec	LongDec	Alt	CanoHt	CanoCov	Strata	Rain	DryMo	ForestType	Soil	StrucIntegr	FlorIntegr
BSP13	14.91389	74.25278	148	15	30	2	4362	6	PDH	S3	3	2
BSP14	14.905	74.30667	141	15	30	2	4642	6	PDH	S2	3	3
BSP15	14.92639	74.20417	150	20	60	4	4107	6	PDH	S3	1	2
BSP16	14.90972	74.25278	90	18	60	3	4362	6	PDH	S3	1	1
BSP17	14.91528	74.30667	100	22	65	3	4642	6	PDH	S2	3	3
BSP18	14.93056	74.20417	200	20	65	3	4107	6	PDH	S3	1	2
BSP89	14.94667	74.36444	390	18	70	3	5033	6	PDH	S6	1	1
BSP90	15.12056	74.31389	616	22	80	3	4863	6	MSA	S6	1	1
BSP91	15.24278	74.29111	610	20	80	3	4821	6	MSA	S6	1	1
BSP93	14.78889	74.14583	130	8	20	2	3126	6	PDH	S3	3	2
