PlotID	ForestDiv	SpCode	TreeGirth1	TreeGirth2	TreeGirth3	TreeGirth4	TreeGirth5
BSP13	Karwar	Alseseme	13	0	0	0	0
BSP13	Karwar	Alseseme	14	0	0	0	0
BSP13	Karwar	Alseseme	17	0	0	0	0
BSP13	Karwar	Alseseme	18	0	0	0	0
BSP13	Karwar	Alseseme	20	0	0	0	0
BSP13	Karwar	Alseseme	29	0	0	0	0
BSP13	Karwar	Alseseme	34	0	0	0	0
BSP13	Karwar	Alseseme	54	0	0	0	0
BSP13	Karwar	Alseseme	60	0	0	0	0
BSP13	Karwar	Alseseme	95	0	0	0	0
BSP13	Karwar	Aporlind	13	0	0	0	0
BSP13	Karwar	Aporlind	14	0	0	0	0
BSP13	Karwar	Aporlind	15	0	0	0	0
BSP13	Karwar	Aporlind	16	0	0	0	0
BSP13	Karwar	Aporlind	19	0	0	0	0
BSP13	Karwar	Aporlind	24	0	0	0	0
BSP13	Karwar	Aporlind	25	0	0	0	0
BSP13	Karwar	Aporlind	27	0	0	0	0
BSP13	Karwar	Aporlind	29	0	0	0	0
BSP13	Karwar	Aporlind	31	0	0	0	0
BSP13	Karwar	Aporlind	32	18	0	0	0
BSP13	Karwar	Aporlind	34	0	0	0	0
BSP13	Karwar	Aporlind	34	0	0	0	0
BSP13	Karwar	Aporlind	35	0	0	0	0
BSP13	Karwar	Aporlind	37	0	0	0	0
BSP13	Karwar	Aporlind	39	0	0	0	0
BSP13	Karwar	Aporlind	41	0	0	0	0
BSP13	Karwar	Aporlind	41	0	0	0	0
BSP13	Karwar	Aporlind	42	0	0	0	0
BSP13	Karwar	Aporlind	49	0	0	0	0
BSP13	Karwar	Aporlind	51	50	0	0	0
BSP13	Karwar	Aporlind	52	49	0	0	0
BSP13	Karwar	Aporlind	53	0	0	0	0
BSP13	Karwar	Aporlind	56	52	50	0	0
BSP13	Karwar	Aporlind	74	0	0	0	0
BSP13	Karwar	Aporlind	118	0	0	0	0
BSP13	Karwar	Bombceib	70	0	0	0	0
BSP13	Karwar	Bombceib	76	0	0	0	0
BSP13	Karwar	Bombceib	81	0	0	0	0
BSP13	Karwar	Bombceib	93	0	0	0	0
BSP13	Karwar	Bombceib	99	0	0	0	0
BSP13	Karwar	Bridcren	19	0	0	0	0
BSP13	Karwar	Bridcren	29	0	0	0	0
BSP13	Karwar	Bridcren	53	0	0	0	0
BSP13	Karwar	Bridcren	66	0	0	0	0
BSP13	Karwar	Bridcren	84	0	0	0	0
BSP13	Karwar	Buchlanz	11	0	0	0	0
BSP13	Karwar	Buchlanz	12	0	0	0	0
BSP13	Karwar	Buchlanz	12	0	0	0	0
BSP13	Karwar	Buchlanz	15	0	0	0	0
BSP13	Karwar	Buchlanz	16	0	0	0	0
BSP13	Karwar	Buchlanz	16	0	0	0	0
BSP13	Karwar	Buchlanz	16	0	0	0	0
BSP13	Karwar	Buchlanz	17	0	0	0	0
BSP13	Karwar	Buchlanz	17	0	0	0	0
BSP13	Karwar	Buchlanz	18	0	0	0	0
BSP13	Karwar	Buchlanz	18	0	0	0	0
BSP13	Karwar	Buchlanz	20	0	0	0	0
BSP13	Karwar	Buchlanz	23	0	0	0	0
BSP13	Karwar	Buchlanz	30	0	0	0	0
BSP13	Karwar	Buchlanz	30	0	0	0	0
BSP13	Karwar	Buchlanz	30	0	0	0	0
BSP13	Karwar	Buchlanz	31	0	0	0	0
BSP13	Karwar	Buchlanz	33	0	0	0	0
BSP13	Karwar	Buchlanz	33	0	0	0	0
BSP13	Karwar	Buchlanz	35	0	0	0	0
BSP13	Karwar	Buchlanz	36	0	0	0	0
BSP13	Karwar	Buchlanz	39	0	0	0	0
BSP13	Karwar	Buchlanz	39	0	0	0	0
BSP13	Karwar	Buchlanz	39	0	0	0	0
BSP13	Karwar	Buchlanz	44	0	0	0	0
BSP13	Karwar	Buchlanz	44	0	0	0	0
BSP13	Karwar	Buchlanz	45	0	0	0	0
BSP13	Karwar	Buchlanz	46	0	0	0	0
BSP13	Karwar	Buchlanz	47	0	0	0	0
BSP13	Karwar	Buchlanz	48	0	0	0	0
BSP13	Karwar	Buchlanz	48	0	0	0	0
BSP13	Karwar	Buchlanz	49	0	0	0	0
BSP13	Karwar	Buchlanz	50	0	0	0	0
BSP13	Karwar	Buchlanz	55	0	0	0	0
BSP13	Karwar	Buchlanz	56	0	0	0	0
BSP13	Karwar	Buchlanz	74	37	0	0	0
BSP13	Karwar	Buchlanz	79	0	0	0	0
BSP13	Karwar	Buchlanz	83	0	0	0	0
BSP13	Karwar	Buchlanz	87	0	0	0	0
BSP13	Karwar	Butemono	35	0	0	0	0
BSP13	Karwar	Buteparv	14	0	0	0	0
BSP13	Karwar	Buteparv	18	0	0	0	0
BSP13	Karwar	Buteparv	19	0	0	0	0
BSP13	Karwar	Calyflor	12	0	0	0	0
BSP13	Karwar	Calyflor	12	0	0	0	0
BSP13	Karwar	Calyflor	12	0	0	0	0
BSP13	Karwar	Calyflor	13	0	0	0	0
BSP13	Karwar	Calyflor	13	0	0	0	0
BSP13	Karwar	Calyflor	14	0	0	0	0
BSP13	Karwar	Calyflor	14	0	0	0	0
BSP13	Karwar	Calyflor	14	0	0	0	0
BSP13	Karwar	Calyflor	17	0	0	0	0
BSP13	Karwar	Calyflor	18	0	0	0	0
BSP13	Karwar	Calyflor	20	14	0	0	0
BSP13	Karwar	Calyflor	20	0	0	0	0
BSP13	Karwar	Calyflor	25	0	0	0	0
BSP13	Karwar	Calyflor	25	0	0	0	0
BSP13	Karwar	Carearbo	10	0	0	0	0
BSP13	Karwar	Carearbo	12	0	0	0	0
BSP13	Karwar	Carearbo	13	0	0	0	0
BSP13	Karwar	Carearbo	13	0	0	0	0
BSP13	Karwar	Carearbo	15	13	0	0	0
BSP13	Karwar	Carearbo	15	0	0	0	0
BSP13	Karwar	Carearbo	16	0	0	0	0
BSP13	Karwar	Carearbo	18	0	0	0	0
BSP13	Karwar	Carearbo	20	0	0	0	0
