PlotID	ForestDiv	LatDec	LongDec	Alt	CanoHt	CanoCov	Strata	Rain	DryMo	ForestType	Soil	StrucIntegr	FlorIntegr
BSP102	Sagar	13.92361	74.88833	570	25	80	3	5107	6	DDD+P	S7	2	1
BSP41	Sagar	14.37833	75.06806	600	18	50	2	1729	6	KAN	S10	1	2
BSP42	Sagar	14.35417	75.10139	620	22	60	3	1525	6	KAN	S10	1	1
BSP43	Sagar	14.28722	75.08611	620	13	60	3	1779	6	KAN	S10	2	2
BSP44	Sagar	14.31333	75.20222	660	8	20	2	1308	6	LTD	S10	2	NA
BSP45	Sagar	14.28	75.09417	640	8	40	2	1680	6	KAN	S10	2	3
BSP46	Sagar	14.40694	75.30222	660	6	5	1	973	6	ATT	S4	3	NA
BSP47	Sagar	14.44583	75.30806	660	8	3	1	1046	6	ATT	S4	3	NA
BSP48	Sagar	14.34861	75.17222	640	6	7	1	1374	6	LTD	S10	3	NA
BSP49	Sagar	14.40056	75.15139	600	9	15	1	1412	6	LTD	S10	3	NA
BSP50	Sagar	14.33083	75.20583	640	11	13	2	1281	6	LTD	S10	3	NA
BSP51	Sagar	14.32694	75.19667	620	13	25	2	1281	6	LTD	S10	3	NA
BSP52	Sagar	14.19444	75.06167	600	15	10	1	1911	6	KAN	S10	3	2
BSP53	Sagar	14.15944	75.06444	580	20	20	2	1897	6	KAN	S10	3	3
BSP56	Sagar	14.32278	75.2875	620	4	0	1	981	6	ATT	S11	3	NA
BSP57	Sagar	14.065	75.02083	600	12	60	2	2498	5	DDD	S7	3	3
BSP58	Sagar	14.02167	75.18861	620	15	20	2	2426	5	KAN	S7	3	3
BSP75	Sagar	13.71556	74.99861	610	30	65	4	7943	5	DDD+P	S7	1	1
BSP76	Sagar	13.72917	75.03278	580	28	50	4	8340	5	DHP	S7	2	1
BSP96	Sagar	13.97417	75.10194	522	15	45	2	2323	5	DDD+P	S7	2	3
BSP98	Sagar	14.22167	74.76111	490	30	75	3	4328	6	DDD	S4	1	1
BSP99	Sagar	14.04333	74.71167	390	28	80	4	6019	6	DDD	S3	1	1
