PlotID	ForestDiv	LatDec	LongDec	Alt	CanoHt	CanoCov	Strata	Rain	DryMo	ForestType	Soil	StrucIntegr	FlorIntegr
BSP101	Shimoga	13.72639	75.43444	650	20	50	2	2243	6	LTD	S4	3	NA
BSP104	Shimoga	13.87	74.90917	695	30	75	4	5419	6	DDD+P	S6	1	1
BSP33	Shimoga	14.38194	75.145	590	8	10	1	1400	6	LTD	S10	2	NA
BSP34	Shimoga	14.28333	75.11806	620	22	35	2	1596	6	KAN	S10	2	3
BSP35	Shimoga	14.28389	75.13583	630	25	65	3	1589	6	KAN	S10	2	3
BSP36	Shimoga	14.28194	75.11694	620	28	55	3	1596	6	KAN	S10	1	1
BSP37	Shimoga	14.46222	75.07361	630	25	70	4	1623	6	KAN	S10	1	1
BSP54	Shimoga	14.07639	75.26667	680	25	60	3	1695	6	LTD	S11	2	NA
BSP55	Shimoga	14.0875	75.28639	700	20	50	2	1612	6	LTD	S4	2	NA
BSP59	Shimoga	13.86333	75.39111	720	18	60	3	1537	6	DP	S4	1	2
BSP60	Shimoga	14.21028	75.40361	720	8	10	1	952	7	ATT	S11	3	NA
BSP61	Shimoga	14.00111	75.58	620	5	0	1	832	6	ATT	S4	3	NA
BSP62	Shimoga	14.18889	75.42167	660	15	40	2	937	6	ATT	S13	2	NA
BSP63	Shimoga	14.06667	75.54389	660	6	0	1	776	7	ATT	S10	3	NA
BSP64	Shimoga	14.08278	75.2025	640	15	40	2	1937	6	LTD	S13	3	NA
BSP69	Shimoga	13.53611	75.09944	650	22	65	3	7108	5	DHP	S4	1	1
BSP71	Shimoga	13.50583	75.10778	660	12	4	2	6591	5	DHP	S4	3	1
BSP73	Shimoga	13.52361	75.07389	640	25	30	3	7468	5	DHP	S4	1	1
BSP74	Shimoga	13.50361	75.01556	683	35	75	4	5776	5	DHP	S2	1	1
