PlotID	ForestDiv	SpCode	TreeGirth1	TreeGirth2	TreeGirth3	TreeGirth4	TreeGirth5
BSP101	Shimoga	Acacsinu	40	0	0	0	0
BSP101	Shimoga	Acrofrax	210	0	0	0	0
BSP101	Shimoga	Acrofrax	250	0	0	0	0
BSP101	Shimoga	Actiangu	25	0	0	0	0
BSP101	Shimoga	Alansalv	15	0	0	0	0
BSP101	Shimoga	Alansalv	16	0	0	0	0
BSP101	Shimoga	Alansalv	16	0	0	0	0
BSP101	Shimoga	Alansalv	16	0	0	0	0
BSP101	Shimoga	Alansalv	16	0	0	0	0
BSP101	Shimoga	Alansalv	16	0	0	0	0
BSP101	Shimoga	Alansalv	20	0	0	0	0
BSP101	Shimoga	Alansalv	25	0	0	0	0
BSP101	Shimoga	Alansalv	26	0	0	0	0
BSP101	Shimoga	Alansalv	28	0	0	0	0
BSP101	Shimoga	Alansalv	43	0	0	0	0
BSP101	Shimoga	Alansalv	60	0	0	0	0
BSP101	Shimoga	Alansalv	70	0	0	0	0
BSP101	Shimoga	Alansalv	102	0	0	0	0
BSP101	Shimoga	Albiodor	150	0	0	0	0
BSP101	Shimoga	Alseseme	56	0	0	0	0
BSP101	Shimoga	Alseseme	96	0	0	0	0
BSP101	Shimoga	Alstscho	225	0	0	0	0
BSP101	Shimoga	Artogome	50	0	0	0	0
BSP101	Shimoga	Artogome	54	0	0	0	0
BSP101	Shimoga	Biscjava	86	0	0	0	0
BSP101	Shimoga	Biscjava	350	0	0	0	0
BSP101	Shimoga	Biscjava	400	0	0	0	0
BSP101	Shimoga	Calltome	25	0	0	0	0
BSP101	Shimoga	Calltome	30	0	0	0	0
BSP101	Shimoga	Calltome	30	0	0	0	0
BSP101	Shimoga	Calyflor	14	0	0	0	0
BSP101	Shimoga	Calyflor	16	0	0	0	0
BSP101	Shimoga	Calyflor	16	0	0	0	0
BSP101	Shimoga	Calyflor	17	0	0	0	0
BSP101	Shimoga	Calyflor	20	0	0	0	0
BSP101	Shimoga	Calyflor	20	0	0	0	0
BSP101	Shimoga	Calyflor	22	0	0	0	0
BSP101	Shimoga	Calyflor	24	0	0	0	0
BSP101	Shimoga	Calyflor	25	0	0	0	0
BSP101	Shimoga	Calyflor	25	0	0	0	0
BSP101	Shimoga	Calyflor	27	0	0	0	0
BSP101	Shimoga	Calyflor	29	0	0	0	0
BSP101	Shimoga	Calyflor	30	0	0	0	0
BSP101	Shimoga	Calyflor	30	0	0	0	0
BSP101	Shimoga	Calyflor	33	0	0	0	0
BSP101	Shimoga	Calyflor	33	0	0	0	0
BSP101	Shimoga	Calyflor	40	0	0	0	0
BSP101	Shimoga	Calyflor	46	0	0	0	0
BSP101	Shimoga	Calyflor	63	0	0	0	0
BSP101	Shimoga	Caseovat	30	0	0	0	0
BSP101	Shimoga	Caseovat	60	0	0	0	0
BSP101	Shimoga	Cassfist	32	0	0	0	0
BSP101	Shimoga	Celttetr	40	0	0	0	0
BSP101	Shimoga	Celttetr	56	0	0	0	0
