PlotID	LatDec	LongDec	Alt	CanoHt	CanoCov	Strata	Rain	DryMo	ForestType	Soil	StrucIntegr	FlorIntegr
BSP1	14.36806	74.91944	575	12	40	1	2481	6	DDD	S10	3	2
BSP2	14.375	74.94028	587	5	0	1	2220	6	DDD	S10	3	3
BSP3	14.39167	74.94861	560	18	40	2	2257	6	DDD	S10	3	3
BSP4	14.425	74.87222	628	15	40	2	2967	6	DDD	S10	3	3
BSP5	14.38889	75.02778	573	22	45	3	1833	6	KAN	S10	1	1
BSP6	14.43056	74.79444	500	25	80	4	4240	6	DDD	S8	1	1
BSP78	14.23	74.84361	640	6	0	1	3988	6	DDD	S10	3	1
BSP79	14.25278	74.7875	555	20	40	3	4891	6	DDD	S10	1	1
BSP80	14.27	74.75694	520	35	65	4	4699	6	DDD	S8	1	1
BSP82	14.255	74.76889	530	22	70	4	4783	6	DDD	S8	1	1
BSP83	14.275	74.73278	540	28	65	4	4739	6	DDD	S8	1	1
BSP94	14.27694	74.73833	550	30	60	3	4739	6	DDD	S8	1	1
