PlotID	ForestDiv	SpCode	TreeGirth1	TreeGirth2	TreeGirth3	TreeGirth4	TreeGirth5
BSP1	Sirsi	Acacsinu	12	0	0	0	0
BSP1	Sirsi	Acacsinu	13	0	0	0	0
BSP1	Sirsi	Acacsinu	13	0	0	0	0
BSP1	Sirsi	Acacsinu	14	0	0	0	0
BSP1	Sirsi	Acacsinu	14	0	0	0	0
BSP1	Sirsi	Acacsinu	15	0	0	0	0
BSP1	Sirsi	Acacsinu	17	0	0	0	0
BSP1	Sirsi	Acacsinu	18	0	0	0	0
BSP1	Sirsi	Acacsinu	18	0	0	0	0
BSP1	Sirsi	Acacsinu	23	0	0	0	0
BSP1	Sirsi	Acacsinu	24	20	0	0	0
BSP1	Sirsi	Acacsinu	24	0	0	0	0
BSP1	Sirsi	Acacsinu	25	0	0	0	0
BSP1	Sirsi	Acacsinu	32	19	0	0	0
BSP1	Sirsi	Acacsinu	33	0	0	0	0
BSP1	Sirsi	Acacsinu	35	0	0	0	0
BSP1	Sirsi	Acacsinu	38	0	0	0	0
BSP1	Sirsi	Acacsinu	42	0	0	0	0
BSP1	Sirsi	Alansalv	65	0	0	0	0
BSP1	Sirsi	Albilebb	15	0	0	0	0
BSP1	Sirsi	Albilebb	16	0	0	0	0
BSP1	Sirsi	Albiproc	13	0	0	0	0
BSP1	Sirsi	Albiproc	76	0	0	0	0
BSP1	Sirsi	Allocobb	13	0	0	0	0
BSP1	Sirsi	Allocobb	14	0	0	0	0
BSP1	Sirsi	Allocobb	20	0	0	0	0
BSP1	Sirsi	Allocobb	24	20	0	0	0
BSP1	Sirsi	Allocobb	26	0	0	0	0
BSP1	Sirsi	Alseseme	11	0	0	0	0
BSP1	Sirsi	Alseseme	11	0	0	0	0
BSP1	Sirsi	Alseseme	11	0	0	0	0
BSP1	Sirsi	Alseseme	12	0	0	0	0
BSP1	Sirsi	Alseseme	12	0	0	0	0
BSP1	Sirsi	Alseseme	13	0	0	0	0
BSP1	Sirsi	Alseseme	14	11	0	0	0
BSP1	Sirsi	Alseseme	14	0	0	0	0
BSP1	Sirsi	Alseseme	14	0	0	0	0
BSP1	Sirsi	Alseseme	14	0	0	0	0
BSP1	Sirsi	Alseseme	15	0	0	0	0
BSP1	Sirsi	Alseseme	15	0	0	0	0
BSP1	Sirsi	Alseseme	17	0	0	0	0
BSP1	Sirsi	Alseseme	18	0	0	0	0
BSP1	Sirsi	Alseseme	19	0	0	0	0
BSP1	Sirsi	Alseseme	20	0	0	0	0
BSP1	Sirsi	Alseseme	20	0	0	0	0
BSP1	Sirsi	Alseseme	21	0	0	0	0
BSP1	Sirsi	Alseseme	27	0	0	0	0
BSP1	Sirsi	Alseseme	31	0	0	0	0
BSP1	Sirsi	Alseseme	35	0	0	0	0
BSP1	Sirsi	Alseseme	43	0	0	0	0
BSP1	Sirsi	Alseseme	76	0	0	0	0
BSP1	Sirsi	Aporlind	11	0	0	0	0
BSP1	Sirsi	Aporlind	11	0	0	0	0
BSP1	Sirsi	Aporlind	11	0	0	0	0
BSP1	Sirsi	Aporlind	12	0	0	0	0
BSP1	Sirsi	Aporlind	12	0	0	0	0
BSP1	Sirsi	Aporlind	12	0	0	0	0
BSP1	Sirsi	Aporlind	12	0	0	0	0
BSP1	Sirsi	Aporlind	12	0	0	0	0
BSP1	Sirsi	Aporlind	12	0	0	0	0
BSP1	Sirsi	Aporlind	12	0	0	0	0
BSP1	Sirsi	Aporlind	12	0	0	0	0
BSP1	Sirsi	Aporlind	13	0	0	0	0
BSP1	Sirsi	Aporlind	13	0	0	0	0
BSP1	Sirsi	Aporlind	13	0	0	0	0
BSP1	Sirsi	Aporlind	13	0	0	0	0
BSP1	Sirsi	Aporlind	13	0	0	0	0
BSP1	Sirsi	Aporlind	13	0	0	0	0
BSP1	Sirsi	Aporlind	14	13	12	0	0
BSP1	Sirsi	Aporlind	14	0	0	0	0
BSP1	Sirsi	Aporlind	14	0	0	0	0
BSP1	Sirsi	Aporlind	15	0	0	0	0
BSP1	Sirsi	Aporlind	15	0	0	0	0
BSP1	Sirsi	Aporlind	15	0	0	0	0
